epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
40,755.31,0.3508,0.54771,0.32479,1.0149,0.99243,0.98586,0.9866,0.9513,0.99243,0.98586,0.9866,0.94868,0.34915,0.48624,0.29599,1.03982,0.000379743,0.000379743,0.000379743
41,802.387,0.21439,0.49781,0.23333,0.98298,0.98808,0.98077,0.98595,0.94626,0.98808,0.98077,0.98595,0.94088,0.37222,0.57319,0.31859,1.06442,0.000346736,0.000346736,0.000346736
42,821.288,0.22658,0.41725,0.22377,0.9718,0.99301,0.97215,0.98755,0.95715,0.99301,0.97215,0.98755,0.94547,0.33159,0.49873,0.31059,1.00717,0.000313729,0.000313729,0.000313729
43,840.072,0.22172,0.44687,0.22464,0.96776,0.97964,0.98062,0.99034,0.95515,0.97964,0.98062,0.99034,0.94713,0.34367,0.55163,0.29998,1.03036,0.000280723,0.000280723,0.000280723
44,859.072,0.20686,0.38969,0.20919,0.95509,0.99495,0.98038,0.98879,0.96075,0.99495,0.98038,0.98879,0.94667,0.33349,0.49045,0.26121,1.01424,0.000247716,0.000247716,0.000247716
45,876.322,0.1875,0.39544,0.19559,0.95723,0.99652,0.98162,0.99079,0.95839,0.99652,0.98162,0.99079,0.94901,0.33086,0.50539,0.25392,1.01688,0.00021471,0.00021471,0.00021471
46,893.497,0.18215,0.35305,0.18323,0.95988,0.99946,0.98238,0.99066,0.96332,0.99946,0.98238,0.99066,0.95364,0.31799,0.48824,0.23582,1.01171,0.000181703,0.000181703,0.000181703
47,911.078,0.1915,0.37993,0.18282,0.94171,0.99939,0.98176,0.99121,0.96417,0.99939,0.98176,0.99121,0.95002,0.30835,0.51573,0.24531,0.9963,0.000148696,0.000148696,0.000148696
48,928.911,0.18858,0.38644,0.18332,0.95512,0.99922,0.982,0.99145,0.96583,0.99922,0.982,0.99145,0.95792,0.30204,0.47211,0.24064,0.99553,0.00011569,0.00011569,0.00011569
49,949.5,0.18933,0.35713,0.18046,0.93172,0.99607,0.97989,0.99061,0.96498,0.99607,0.97989,0.99061,0.95839,0.30824,0.46311,0.25126,0.99733,8.26832e-05,8.26832e-05,8.26832e-05
50,967.645,0.18079,0.3547,0.1703,0.9468,0.99643,0.98136,0.99066,0.96649,0.99643,0.98136,0.99066,0.95726,0.31099,0.47349,0.25359,0.99889,4.96766e-05,4.96766e-05,4.96766e-05
